OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,LAT,LONG,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD,QUANTITY RELEASED,REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB - SECTOR,YEAR
SEABANK POWER LTD,Seabank Power Station Severn Road Hallen Bristol,BS10 7SP,51.528966078,-2.65340415699,Wessex,Controlled Waters,Mercury,0,0.364,Combustion,Power,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,3.69,Water Industry,Water Industry,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Phenols - total as C,20,26.8,Water Industry,Water Industry,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Nonylphenols and nonylphenol ethoxylates,1,207,Water Industry,Water Industry,2016
Avonmouth Bio Power Energy Limited,"Avonmouth Energy Facility,Former Britannia Zinc Works Kings Weston Lane Avonmouth Avon",BS11 8AZ,51.5105921253,-2.69017461962,Wessex,Air,Particulate matter - total,10000,702.2,Combustion,EfW,2016
Phillips; Phillips,Mudgley Lodge Farm Mudgley Road Rooksbridge Axbridge Somerset,BS26 2TL,51.259513636,-2.91656876967,Wessex,Air,Ammonia,1000,3674.2,Agriculture,Intensive Farming,2016
Lukins and Son,Townsend Farm Prowses Lane Townsend Somerset,BS26 2AJ,51.2884224665,-2.82608209035,Wessex,Air,Ammonia,1000,5100,Agriculture,Intensive Farming,2016
Accolade Wines Limited,Accolade Park Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5172545561,-2.68869025175,Wessex,Wastewater,Total organic carbon (TOC),50000,126919,Food & Drink,Food & Drink,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Total organic carbon (TOC),50000,132000,Water Industry,Water Industry,2016
MAGNOX LIMITED,Magnox Electric Plc Oldbury Power Station Oldbury Naite Oldbury-on-Severn Avon,BS35 1RQ,51.6468354107,-2.56953463285,Wessex,Air,"Tetrachloroethane (1,1,2,2-Tetrachloroethane)",10,,Landfill,Non Hazardous Landfill,2016
MAGNOX LIMITED,Magnox Electric Plc Oldbury Power Station Oldbury Naite Oldbury-on-Severn Avon,BS35 1RQ,51.6468354107,-2.56953463285,Wessex,Air,Chlorofluorocarbons (CFCs),1,,Landfill,Non Hazardous Landfill,2016
MAGNOX LIMITED,Magnox Electric Plc Oldbury Power Station Oldbury Naite Oldbury-on-Severn Avon,BS35 1RQ,51.6468354107,-2.56953463285,Wessex,Controlled Waters,Chlorides - as Cl,2000000,,Landfill,Non Hazardous Landfill,2016
MAGNOX LIMITED,Magnox Electric Plc Oldbury Power Station Oldbury Naite Oldbury-on-Severn Avon,BS35 1RQ,51.6468354107,-2.56953463285,Wessex,Controlled Waters,Copper,20,,Landfill,Non Hazardous Landfill,2016
MAGNOX LIMITED,Magnox Electric Plc Oldbury Power Station Oldbury Naite Oldbury-on-Severn Avon,BS35 1RQ,51.6468354107,-2.56953463285,Wessex,Controlled Waters,Nickel,20,,Landfill,Non Hazardous Landfill,2016
PRAXAIR SURFACE TECHNOLOGIES LTD,Oldmixon Industrial Estate Oldmixon Crescent Weston Super Mare North Somerset,BS24 9AX,51.3277765366,-2.95983710274,Wessex,Air,Nitrous oxide,10000,,Metals,Surface treatment,2016
PRAXAIR SURFACE TECHNOLOGIES LTD,Oldmixon Industrial Estate Oldmixon Crescent Weston Super Mare North Somerset,BS24 9AX,51.3277765366,-2.95983710274,Wessex,Air,Chromium,10,,Metals,Surface treatment,2016
Augean Treatment Ltd,Augean Waste Treatment Plant Smoke Lane Avonmouth Avon,BS11 0YA,51.522484406,-2.68617491996,Wessex,Wastewater,Chromium,20,,Waste treatment,Hazardous,2016
Augean Treatment Ltd,Augean Waste Treatment Plant Smoke Lane Avonmouth Avon,BS11 0YA,51.522484406,-2.68617491996,Wessex,Air,Sulphur oxides (SO2 and SO3) as SO2,100000,,Waste treatment,Hazardous,2016
Lukins and Son,Townsend Farm Prowses Lane Townsend Somerset,BS26 2AJ,51.2884224665,-2.82608209035,Wessex,Air,Nitrous oxide,10000,,Agriculture,Intensive Farming,2016
Tulip Ltd,Tulip Fresh Meats Oakley Green Westerleigh Avon,BS37 8QZ,51.5075494581,-2.44604001153,Wessex,Air,Particulate matter - PM10,1000,,Food & Drink,Food & Drink,2016
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Trichlorobenzene - all isomers,1,,Landfill,Non Hazardous Landfill,2016
