OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,LAT,LONG,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD,QUANTITY RELEASED,REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB - SECTOR,YEAR
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Dichloromethane (DCM) (Methylene chloride),10,14.2,Water Industry,Water Industry,2016
Suez Recycling And Recovery Uk Ltd,Avonmouth Resource Park Merebank Road Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5151120023,-2.68606383925,Wessex,Air,Carbon monoxide,100000,23,Combustion,EfW,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Copper,20,41.5,Water Industry,Water Industry,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Copper,20,600,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Halogenated organic compounds - as AOX,1000,1260,Water Industry,Water Industry,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Air,Ammonia,1000,2500,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Fluorides - as F,2000,2910,Water Industry,Water Industry,2016
Siniat Limited,Siniat Limited Redlands Avenue Easton-in-Gordano,BS20 0FB,51.48960805,-2.71088511099,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,286331,Cement and Minerals,Minerals,2016
SEABANK POWER LTD,Seabank Power Station Severn Road Hallen Bristol,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Carbon monoxide,100000,1188200,Combustion,Power,2016
Avonmouth Bio Power Energy Limited,"Avonmouth Energy Facility,Former Britannia Zinc Works Kings Weston Lane Avonmouth Avon",BS11 8AZ,51.5105921253,-2.69017461962,Wessex,Air,Carbon Dioxide From Qualifying Renewable Fuel Sources,0,31145016,Combustion,EfW,2016
Cory Environmental (Gloucestershire) Limited,Shortwood Quarry Landfill Site Shortwood Pucklechurch Bristol,BS16 9NN,51.4878795664,-2.46356361502,Wessex,Air,Carbon dioxide,10000000,11500000,Landfill,Non Hazardous Landfill,2016
PRAXAIR SURFACE TECHNOLOGIES LTD,Oldmixon Industrial Estate Oldmixon Crescent Weston Super Mare North Somerset,BS24 9AX,51.3277765366,-2.95983710274,Wessex,Air,Carbon monoxide,100000,,Metals,Surface treatment,2016
Cory Environmental (Gloucestershire) Limited,Shortwood Quarry Landfill Site Shortwood Pucklechurch Bristol,BS16 9NN,51.4878795664,-2.46356361502,Wessex,Wastewater,Zinc,100,,Landfill,Non Hazardous Landfill,2016
Augean Treatment Ltd,Augean Waste Treatment Plant Smoke Lane Avonmouth Avon,BS11 0YA,51.522484406,-2.68617491996,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,,Waste treatment,Hazardous,2016
Avonmouth Bio Power Energy Limited,"Avonmouth Energy Facility,Former Britannia Zinc Works Kings Weston Lane Avonmouth Avon",BS11 8AZ,51.5105921253,-2.69017461962,Wessex,Air,Polychlorinated biphenyls (PCBs),0,,Combustion,EfW,2016
Suez Recycling And Recovery Uk Ltd,Severnside Energy Recovery Centre Severside Energy Recovery Centre Severn Road Hallen Avon,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Cadmium,1,,Combustion,EfW,2016
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Wastewater,Benzene,10,,Landfill,Non Hazardous Landfill,2016
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Tetrachloroethylene (PER),100,,Landfill,Non Hazardous Landfill,2016
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Halons,1,,Landfill,Non Hazardous Landfill,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Organotin compounds - as Sn,5,,Water Industry,Water Industry,2016
Siniat Limited,Siniat Limited Redlands Avenue Easton-in-Gordano,BS20 0FB,51.48960805,-2.71088511099,Wessex,Air,Hydrofluorocarbons (HFCs),100,,Cement and Minerals,Minerals,2016
Siniat Limited,Siniat Limited Redlands Avenue Easton-in-Gordano,BS20 0FB,51.48960805,-2.71088511099,Wessex,Air,Carbon monoxide,100000,,Cement and Minerals,Minerals,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Cadmium,1,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Chromium,10,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Copper,10,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Nickel,10,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Naphthalene,100,,Combustion,EfW,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,,Metals,Surface treatment,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Air,Copper,10,,Metals,Surface treatment,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Air,Zinc,100,,Metals,Surface treatment,2016
Suez Recycling And Recovery Uk Ltd,Avonmouth Resource Park Merebank Road Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5151120023,-2.68606383925,Wessex,Wastewater,Zinc,100,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Lead,100,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Chlorine and inorganic chlorine compounds - as HCl,10000,,Combustion,EfW,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Wastewater,Nickel,20,,Landfill,Non Hazardous Landfill,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Air,Carbon dioxide,10000000,,Landfill,Non Hazardous Landfill,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Phenols - total as C,20,,Water Industry,Water Industry,2016
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,,Chemicals,Chemicals,2016
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Controlled Waters,Total organic carbon (TOC),50000,,Chemicals,Chemicals,2016
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Air,Sulphur oxides (SO2 and SO3) as SO2,100000,,Chemicals,Chemicals,2016
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Controlled Waters,Dichloromethane (DCM) (Methylene chloride),10,,Chemicals,Chemicals,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Chlorides - as Cl,2000000,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Fluoranthene,0,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Air,Carbon dioxide,10000000,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,0,,Water Industry,Water Industry,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Zinc,100,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,0,,Combustion,EfW,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Air,Carbon monoxide,100000,,Landfill,Non Hazardous Landfill,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Air,Methane,10000,,Landfill,Non Hazardous Landfill,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Wastewater,Cadmium,1,,Landfill,Non Hazardous Landfill,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Air,Chloroform (Trichloromethane),100,,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Air,Carbon dioxide,10000000,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,"Brominated diphenylethers - penta-, octa- and deca- BDE",0,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Air,Methane,10000,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Octylphenols and octylphenol ethoxylates,1,,Water Industry,Water Industry,2016
Phillips; Phillips,Mudgley Lodge Farm Mudgley Road Rooksbridge Axbridge Somerset,BS26 2TL,51.259513636,-2.91656876967,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,,Agriculture,Intensive Farming,2016
SEABANK POWER LTD,Seabank Power Station Severn Road Hallen Bristol,BS10 7SP,51.528966078,-2.65340415699,Wessex,Controlled Waters,Chlorides - as Cl,2000000,,Combustion,Power,2016
CLEANSING SERVICE GROUP LTD,Csg Bristol Treatment Plant Pennywell Road Bristol Avon,BS5 0TQ,51.4617497824,-2.57715858129,Wessex,Wastewater,Cadmium,1,,Waste treatment,Hazardous,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Wastewater,Cyanides - as CN,50,,Metals,Surface treatment,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Wastewater,Nickel,20,,Metals,Surface treatment,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Air,Selenium,100,,Metals,Surface treatment,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Wastewater,Cadmium,1,,Metals,Surface treatment,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Fluorine and inorganic fluorine compounds - as HF,1000,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Carbon monoxide,100000,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Carbon dioxide,10000000,,Combustion,EfW,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Wastewater,Lead,20,,Landfill,Non Hazardous Landfill,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Air,Non-methane volatile organic compounds (NMVOCs),10000,,Landfill,Non Hazardous Landfill,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Air,Methane,10000,,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Dichloromethane (DCM) (Methylene chloride),10,,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,0,,Water Industry,Water Industry,2016
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Air,Non-methane volatile organic compounds (NMVOCs),10000,,Chemicals,Chemicals,2016
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Air,Particulate matter - total,10000,,Chemicals,Chemicals,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Benzo(b)fluoranthene,1,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,0,,Water Industry,Water Industry,2016
SEABANK POWER LTD,Seabank Power Station Severn Road Hallen Bristol,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Hydrofluorocarbons (HFCs),100,,Combustion,Power,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Air,Chromium,10,,Metals,Surface treatment,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Wastewater,Copper,20,,Metals,Surface treatment,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Wastewater,Lead,20,,Metals,Surface treatment,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Air,Fluorine and inorganic fluorine compounds - as HF,1000,,Metals,Surface treatment,2016
Accolade Wines Limited,Accolade Park Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5172545561,-2.68869025175,Wessex,Air,Carbon monoxide,100000,,Food & Drink,Food & Drink,2016
Accolade Wines Limited,Accolade Park Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5172545561,-2.68869025175,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,,Food & Drink,Food & Drink,2016
Accolade Wines Limited,Accolade Park Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5172545561,-2.68869025175,Wessex,Air,Hydrofluorocarbons (HFCs),100,,Food & Drink,Food & Drink,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Carbon monoxide,100000,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Benzo(b)fluoranthene,1,,Combustion,EfW,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Air,Mercury,1,,Metals,Surface treatment,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Wastewater,Copper,20,,Metals,Surface treatment,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Air,Particulate matter - PM10,1000,,Metals,Surface treatment,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Copper,10,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Mercury,1,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Arsenic,1,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Naphthalene,100,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Sulphur oxides (SO2 and SO3) as SO2,100000,,Combustion,EfW,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Wastewater,Chromium,20,,Landfill,Non Hazardous Landfill,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Air,Sulphur oxides (SO2 and SO3) as SO2,100000,,Landfill,Non Hazardous Landfill,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Wastewater,Chlorides - as Cl,2000000,,Landfill,Non Hazardous Landfill,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Benzo(k)fluoranthene,1,,Water Industry,Water Industry,2016
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Controlled Waters,Nitrogen - as total N,50000,,Chemicals,Chemicals,2016
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Controlled Waters,Phosphorus - as total P,5000,,Chemicals,Chemicals,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Cyanides - as CN,50,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Phenols - total as C,20,,Water Industry,Water Industry,2016
SEABANK POWER LTD,Seabank Power Station Severn Road Hallen Bristol,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Chlorine and inorganic chlorine compounds - as HCl,10000,,Combustion,Power,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Wastewater,Mercury,0,,Metals,Surface treatment,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Octylphenols and octylphenol ethoxylates,1,,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Organotin compounds - as Sn,5,,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Atrazine,0,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Chloroform (Trichloromethane),5,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Organotin compounds - as Sn,5,,Water Industry,Water Industry,2016
Phillips; Phillips,Mudgley Lodge Farm Mudgley Road Rooksbridge Axbridge Somerset,BS26 2TL,51.259513636,-2.91656876967,Wessex,Air,Methane,10000,,Agriculture,Intensive Farming,2016
SEABANK POWER LTD,Seabank Power Station Severn Road Hallen Bristol,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Sulphur oxides (SO2 and SO3) as SO2,100000,,Combustion,Power,2016
SEABANK POWER LTD,Seabank Power Station Severn Road Hallen Bristol,BS10 7SP,51.528966078,-2.65340415699,Wessex,Controlled Waters,Cadmium,1,,Combustion,Power,2016
CLEANSING SERVICE GROUP LTD,Csg Bristol Treatment Plant Pennywell Road Bristol Avon,BS5 0TQ,51.4617497824,-2.57715858129,Wessex,Air,Non-methane volatile organic compounds (NMVOCs),10000,,Waste treatment,Hazardous,2016
CLEANSING SERVICE GROUP LTD,Csg Bristol Treatment Plant Pennywell Road Bristol Avon,BS5 0TQ,51.4617497824,-2.57715858129,Wessex,Wastewater,Zinc,100,,Waste treatment,Hazardous,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Wastewater,Cadmium,1,,Metals,Surface treatment,2016
